color	count
#000000	394
#070000	38
#000700	5
#000707	25
#000007	9
#070707	501
#070700	67
#00070e	8
#0e0e0e	663
#0e0707	110
#0e0700	49
#070e07	2
#0e070e	7
#070e0e	49
#0e0e07	152
#07070e	21
#0e1515	69
#151507	6
#0e0e15	42
#15150e	142
#151515	553
#150e07	93
#070e15	3
#071515	1
#150e15	10
#150e0e	131
#0e150e	6
#0e151c	10
#0e0e1c	1
#1c1507	27
#15151c	55
#1c150e	105
#1c151c	2
#1c1515	121
#0e1c1c	3
#1c0e07	9
#1c1c1c	355
#151c15	2
#151c1c	73
#1c1c15	193
#1c1c0e	1
#23150e	54
#0e1523	2
#231515	1
#231507	4
#151523	1
#231c0e	29
#231c1c	122
#231c23	4
#231c15	84
#23231c	106
#232323	199
#152323	5
#1c2323	69
#0e1c23	3
#1c1c23	64
#1c231c	6
#232315	5
#151c23	16
#0e152a	2
#0e232a	1
#2a1c0e	53
#2a150e	2
#23232a	36
#2a1c1c	3
#2a1c15	41
#1c2a2a	1
#15232a	6
#2a2a1c	10
#2a232a	4
#2a2a23	75
#1c232a	23
#2a2a2a	251
#2a2315	35
#2a231c	80
#2a2323	118
#0e1c2a	7
#2a230e	2
#1c1c2a	1
#232a23	2
#232a2a	44
#151c2a	3
#312a1c	15
#312a15	1
#312a23	92
#312a2a	72
#312a31	1
#2a3131	46
#2a312a	5
#312323	2
#311c23	1
#31230e	9
#31311c	1
#31231c	17
#312315	53
#311c0e	5
#311c15	7
#31312a	61
#313123	3
#1c2a31	10
#313131	168
#152331	2
#233131	1
#1c2331	3
#2a2a31	49
#0e1c31	3
#1c1c31	1
#232a31	21
#383838	112
#383831	42
#1c3138	1
#38230e	8
#382315	16
#313831	3
#313838	60
#2a3138	35
#152a38	1
#383138	3
#383131	61
#383123	19
#38312a	89
#1c2a38	5
#313138	60
#382a0e	2
#382a15	10
#382a1c	14
#233138	7
#382a23	11
#2a2a38	2
#382a2a	2
#232a38	2
#2a3838	2
#38383f	27
#3f231c	1
#3f3f31	1
#3f3f3f	84
#3f3f38	45
#3f3131	6
#3f312a	20
#3f3123	6
#3f311c	4
#383f3f	45
#31383f	17
#152a3f	8
#383f38	6
#2a313f	7
#3f383f	3
#3f3838	56
#3f3831	55
#3f382a	29
#313f3f	5
#23383f	2
#23313f	7
#2a2a3f	1
#3f2a1c	19
#2a383f	26
#3f2a15	3
#3f3f46	39
#3f4638	1
#1c3146	1
#3f463f	3
#3f4646	55
#383f46	25
#463f38	53
#463f31	13
#313846	3
#463f3f	45
#2a3146	1
#233f46	3
#46382a	23
#463831	28
#463838	4
#384646	2
#46381c	1
#463823	5
#463123	12
#2a3846	6
#46312a	1
#46311c	6
#233846	2
#313f46	30
#46463f	42
#464638	3
#464646	65
#2a3f46	5
#4d4646	35
#4d464d	2
#4d4638	10
#4d463f	38
#4d382a	9
#4d3823	4
#4d3831	1
#3f464d	24
#4d3115	1
#4d3f2a	5
#4d3f31	14
#4d3f38	19
#4d3f3f	4
#383f4d	2
#31384d	3
#46464d	32
#464d4d	25
