name	color
Acid green	#A8BB19
Aero	#7CB9E8
Aero blue	#C9FFE5
African purple	#B284BE
Air Force blue (RAF)	#5D8AA8
Air Force blue (USAF)	#00308F
Air superiority blue	#72A0C1
Alabama Crimson	#AF002A
Alice blue	#F0F8FF
Alizarin crimson	#E32636
Alloy orange	#C46210
Almond	#EFDECD
Amaranth	#E52B50
Amaranth pink	#F19CBB
Amaranth purple	#AB274F
Amazon	#3B7A57
Amber	#FFBF00
SAE/ECE Amber (color)	#FF7E00
American rose	#FF033E
Amethyst	#9966CC
Android green	#A4C639
Anti-flash white	#F2F3F4
Antique brass	#CD9575
Antique bronze	#665D1E
Antique fuchsia	#915C83
Antique ruby	#841B2D
Antique white	#FAEBD7
Ao (English)	#008000
Apple green	#8DB600
Apricot	#FBCEB1
Aqua	#00FFFF
Aquamarine	#7FFFD4
Army green	#4B5320
Arsenic	#3B444B
Artichoke	#8F9779
Arylide yellow	#E9D66B
Ash grey	#B2BEB5
Asparagus	#87A96B
Atomic tangerine	#FF9966
Auburn	#A52A2A
Aureolin	#FDEE00
AuroMetalSaurus	#6E7F80
Avocado	#568203
Azure	#007FFF
Azure mist/web	#F0FFFF
Baby blue	#89CFF0
Baby blue eyes	#A1CAF1
Baby pink	#F4C2C2
Baby powder	#FEFEFA
Baker-Miller pink	#FF91AF
Ball blue	#21ABCD
Banana Mania	#FAE7B5
Banana yellow	#FFE135
Bangladesh green	#006A4E
Barbie pink	#E0218A
Barn red	#7C0A02
Battleship grey	#848482
Bazaar	#98777B
Beau blue	#BCD4E6
Beaver	#9F8170
Beige	#F5F5DC
B'dazzled blue	#2E5894
Big dip o’ruby	#9C2542
Bisque	#FFE4C4
Bistre	#3D2B1F
Bistre brown	#967117
Bitter lemon	#CAE00D
Bitter lime	#648C11
Bittersweet	#FE6F5E
Bittersweet shimmer	#BF4F51
Black	#000000
Black bean	#3D0C02
Black leather jacket	#253529
Black olive	#3B3C36
Blanched almond	#FFEBCD
Blast-off bronze	#A57164
Bleu de France	#318CE7
Blizzard Blue	#ACE5EE
Blond	#FAF0BE
Blue	#0000FF
Blue (Crayola)	#1F75FE
Blue (Munsell)	#0093AF
Blue (NCS)	#0087BD
Blue (Pantone)	#0018A8
Blue (pigment)	#333399
Blue (RYB)	#0247FE
Blue Bell	#A2A2D0
Blue-gray	#6699CC
Blue-green	#0D98BA
Blue sapphire	#126180
Blue-violet	#8A2BE2
Blue yonder	#5072A7
Blueberry	#4F86F7
Bluebonnet	#1C1CF0
Blush	#DE5D83
Bole	#79443B
Bondi blue	#0095B6
Bone	#E3DAC9
Boston University Red	#CC0000
Bottle green	#006A4E
Boysenberry	#873260
Brandeis blue	#0070FF
Brass	#B5A642
Brick red	#CB4154
Bright cerulean	#1DACD6
Bright green	#66FF00
Bright lavender	#BF94E4
Bright lilac	#D891EF
Bright maroon	#C32148
Bright navy blue	#1974D2
Bright pink	#FF007F
Bright turquoise	#08E8DE
Bright ube	#D19FE8
Brilliant lavender	#F4BBFF
Brilliant rose	#FF55A3
Brink pink	#FB607F
British racing green	#004225
Bronze	#CD7F32
Bronze Yellow	#737000
Brown (traditional)	#964B00
Brown (web)	#A52A2A
Brown-nose	#6B4423
Brunswick green	#1B4D3E
Bubble gum	#FFC1CC
Bubbles	#E7FEFF
Buff	#F0DC82
Bud green	#7BB661
Bulgarian rose	#480607
Burgundy	#800020
Burlywood	#DEB887
Burnt orange	#CC5500
Burnt sienna	#E97451
Burnt umber	#8A3324
Byzantine	#BD33A4
Byzantium	#702963
Cadet	#536872
Cadet blue	#5F9EA0
Cadet grey	#91A3B0
Cadmium green	#006B3C
Cadmium orange	#ED872D
Cadmium red	#E30022
Cadmium yellow	#FFF600
Café au lait	#A67B5B
Café noir	#4B3621
Cal Poly green	#1E4D2B
Cambridge Blue	#A3C1AD
Camel	#C19A6B
Cameo pink	#EFBBCC
Camouflage green	#78866B
Canary yellow	#FFEF00
Candy apple red	#FF0800
Candy pink	#E4717A
Capri	#00BFFF
Caput mortuum	#592720
Cardinal	#C41E3A
Caribbean green	#00CC99
Carmine	#960018
Carmine (M&P)	#D70040
Carmine pink	#EB4C42
Carmine red	#FF0038
Carnation pink	#FFA6C9
Carnelian	#B31B1B
Carolina blue	#99BADD
Carrot orange	#ED9121
Castleton green	#00563F
Catalina blue	#062A78
Catawba	#703642
Cedar Chest	#C95A49
Ceil	#92A1CF
Celadon	#ACE1AF
Celadon blue	#007BA7
Celadon green	#2F847C
Celeste	#B2FFFF
Celestial blue	#4997D0
Cerise	#DE3163
Cerise pink	#EC3B83
Cerulean	#007BA7
Cerulean blue	#2A52BE
Cerulean frost	#6D9BC3
CG Blue	#007AA5
CG Red	#E03C31
Chamoisee	#A0785A
Champagne	#F7E7CE
Charcoal	#36454F
Charleston green	#232B2B
Charm pink	#E68FAC
Chartreuse (traditional)	#DFFF00
Chartreuse (web)	#7FFF00
Cherry	#DE3163
Cherry blossom pink	#FFB7C5
Chestnut	#954535
China pink	#DE6FA1
China rose	#A8516E
Chinese red	#AA381E
Chinese violet	#856088
Chocolate (traditional)	#7B3F00
Chocolate (web)	#D2691E
Chrome yellow	#FFA700
Cinereous	#98817B
Cinnabar	#E34234
Cinnamon	#D2691E
Citrine	#E4D00A
Citron	#9FA91F
Claret	#7F1734
Classic rose	#FBCCE7
Cobalt	#0047AB
Cocoa brown	#D2691E
Coconut	#965A3E
Coffee	#6F4E37
Columbia blue	#9BDDFF
Congo pink	#F88379
Cool black	#000000
Cool grey	#8C92AC
Copper	#B87333
Copper (Crayola)	#DA8A67
Copper penny	#AD6F69
Copper red	#CB6D51
Copper rose	#996666
Coquelicot	#FF3800
Coral	#FF7F50
Coral pink	#F88379
Coral red	#FF4040
Cordovan	#893F45
Corn	#FBEC5D
Cornell Red	#B31B1B
Cornflower blue	#6495ED
Cornsilk	#FFF8DC
Cosmic latte	#FFF8E7
Cotton candy	#FFBCD9
Cream	#FFFDD0
Crimson	#DC143C
Crimson glory	#BE0032
Cyan	#00FFFF
Cyan (process)	#00B7EB
Cyber grape	#58427C
Cyber yellow	#FFD300
Daffodil	#FFFF31
Dandelion	#F0E130
Dark blue	#00008B
Dark blue-gray	#666699
Dark brown	#654321
Dark byzantium	#5D3954
Dark candy apple red	#A40000
Dark cerulean	#08457E
Dark chestnut	#986960
Dark coral	#CD5B45
Dark cyan	#008B8B
Dark electric blue	#536878
Dark goldenrod	#B8860B
Dark gray	#A9A9A9
Dark green	#013220
Dark imperial blue	#00416A
Dark jungle green	#1A2421
Dark khaki	#BDB76B
Dark lava	#483C32
Dark lavender	#734F96
Dark liver	#534B4F
Dark liver (horses)	#543D37
Dark magenta	#8B008B
Dark midnight blue	#003366
Dark moss green	#4A5D23
Dark olive green	#556B2F
Dark orange	#FF8C00
Dark orchid	#9932CC
Dark pastel blue	#779ECB
Dark pastel green	#03C03C
Dark pastel purple	#966FD6
Dark pastel red	#C23B22
Dark pink	#E75480
Dark powder blue	#003399
Dark puce	#4F3A3C
Dark raspberry	#872657
Dark red	#8B0000
Dark salmon	#E9967A
